"Journal","Citations"
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
